Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0003296503626275606
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.002153393503441983
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.002150951383888128
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0004992646991564566
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0007341868585042942
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0007341868585043048
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0006171251069233528
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0006171251069233478
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
-1.745943450153208e-15 0.9999999999999936 -1.311341316700216e-07;2.165042941762266e-15 1.043230925827414e-15 1.000000000000018;0.7105647985280557 -0.7036317695306145 9.982899824324832e-17;0.407563171490774 0.4115789755072974 -0.8151656323501043;0.5735764363510462 0.579228003317847 0.5792279273612889;0.0
