Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;-1
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;-1
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;-1
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;-1
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;-1
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;0.0007360621292674505
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;-1
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;-1
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;0.002188448351297418
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;0.0022653631906194888
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;0.0008652917246316019
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;-1
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;-1
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;0.0008652917246316257
-1.0 1.224646799147351e-16 -2.465190328815662e-32;-2.220334274557209e-16 -6.547122178206097e-16 1.000000000000048;-3.828568698926949e-16 1.0 8.659560562354935e-17;-0.7071067811865474 -2.094883489676126e-16 -0.7071067811865477;-0.7071067811865477 -3.319530288823481e-16 0.7071067811865474;0.0008652917246316155
