Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;-1
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;-1
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;-1
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;-1
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;-1
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;1.3114787095842015e-05
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;3.81571865545168e-05
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;0.0004686966965953566
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;0.00046869669659535654
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;3.8157186549484126e-05
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;2.8786771329377063e-05
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;0.00021505909366581892
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;0.00034797292314103496
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;0.0003717488893220139
-2.418204525511669e-15 1.000000000000014 -9.402201239794294e-16;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;1.0 2.83918221146986e-15 8.659560562354959e-17;-1.946372654797183e-15 0.7071067811865455 -0.7071067811865496;-2.06883733471193e-15 0.7071067811865496 0.7071067811865455;0.0002624493634668724
