Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;-1
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;-1
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;-1
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;-1
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;-1
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;0.0007360595264464786
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;0.0003150490433954671
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;0.0005097600589275446
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;0.0003668236566659378
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;0.00022670948769707138
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;1.7483086021086035e-05
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;1.7483086021086035e-05
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;1.7483086021086035e-05
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;1.7483086021086035e-05
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;1.7483086021086035e-05
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;1.7483086021086032e-05
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;1.7483086021086032e-05
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;1.7483086021086032e-05
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;1.7483086021086032e-05
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;1.7483086021086032e-05
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;0.0008773429680876618
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;0.00022670948769707135
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;0.00036682365666593756
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;0.0005097600612084252
-0.9999999999999971 -6.191801813195241e-15 -8.742258196572183e-08;-6.168284606388833e-08 -0.9999999999966042 2.6061579757196e-06;-0.7071067593771706 0.7071068029959238 1.224646799145411e-16;-1.259367696420984e-06 -1.259367618562147e-06 -0.999999999998414;-0.7071068029948023 -0.7071067593760492 1.781014821238608e-06;0.00031504904306269097
