Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;2.8284329050164512e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;2.8284329050164512e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;2.8284329050164512e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;2.8284329050164512e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;2.8284329050164512e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;9.153001150429189e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;4.241762022639009e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;5.9701949917320235e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;9.153001150432188e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;9.153001150431245e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;0.0
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;0.0
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;0.0
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;0.0
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;0.0
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;0.0
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;0.0
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;0.0
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;0.0
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;0.0
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;9.1530011504317e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;9.153001150432024e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;9.153001150430172e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;7.183877327372373e-05
-1.000000000000001 -1.110223024625157e-16 0.0;2.220446272051183e-16 0.9999999999999976 -8.742271529854441e-08;0.707106781186284 0.707106781186811 1.135472768075623e-16;-0.2648868219532162 0.2648868219530189 -0.9271838777239144;-0.6556180073456629 0.6556180073451743 0.3746065361000062;4.0558078213012205e-05
