Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;0.0004525484313348014
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;0.0004525484313348014
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;0.0004525484313348014
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;0.0004525484313348014
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;0.0004525484313348014
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;0.0
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;0.0
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;4.725710092172295e-05
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;4.725710092172294e-05
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;0.0
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;0.0
-9.495317022805885e-15 1.000000000000038 -4.37113612299359e-08;-1.110223024625157e-14 -8.375244942025718e-15 1.000000000000707;0.710564783150423 0.7036317850597656 9.98289960400245e-17;-0.4075631983008456 0.4115789845908325 -0.8151656143594164;-0.5735764363510567 0.5792279779989801 0.5792279526801475;0.0
