Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
-1.000000000000032 8.764382280225698e-16 -4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;0.2434007633765387 0.9328170498060387 -0.2657224491436063;-0.665399233074407 -0.0387349595359669 -0.7454820343467293;-0.7056911002780957 0.3582624101142977 0.6112676308192553;0.000700035780656424
-1.000000000000032 8.764382280225698e-16 -4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;0.2434007633765387 0.9328170498060387 -0.2657224491436063;-0.665399233074407 -0.0387349595359669 -0.7454820343467293;-0.7056911002780957 0.3582624101142977 0.6112676308192553;0.000700035780656424
-1.000000000000032 8.764382280225698e-16 -4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;0.2434007633765387 0.9328170498060387 -0.2657224491436063;-0.665399233074407 -0.0387349595359669 -0.7454820343467293;-0.7056911002780957 0.3582624101142977 0.6112676308192553;0.000700035780656424
-1.000000000000032 8.764382280225698e-16 -4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;0.2434007633765387 0.9328170498060387 -0.2657224491436063;-0.665399233074407 -0.0387349595359669 -0.7454820343467293;-0.7056911002780957 0.3582624101142977 0.6112676308192553;0.000700035780656424
-1.000000000000032 8.764382280225698e-16 -4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;0.2434007633765387 0.9328170498060387 -0.2657224491436063;-0.665399233074407 -0.0387349595359669 -0.7454820343467293;-0.7056911002780957 0.3582624101142977 0.6112676308192553;0.000700035780656424
-1.000000000000032 8.764382280225698e-16 -4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;0.2434007633765387 0.9328170498060387 -0.2657224491436063;-0.665399233074407 -0.0387349595359669 -0.7454820343467293;-0.7056911002780957 0.3582624101142977 0.6112676308192553;0.00011152990891856113
-1.000000000000032 8.764382280225698e-16 -4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;0.2434007633765387 0.9328170498060387 -0.2657224491436063;-0.665399233074407 -0.0387349595359669 -0.7454820343467293;-0.7056911002780957 0.3582624101142977 0.6112676308192553;0.00036091836678488545
-1.000000000000032 8.764382280225698e-16 -4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;0.2434007633765387 0.9328170498060387 -0.2657224491436063;-0.665399233074407 -0.0387349595359669 -0.7454820343467293;-0.7056911002780957 0.3582624101142977 0.6112676308192553;0.0002130780392252576
-1.000000000000032 8.764382280225698e-16 -4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;0.2434007633765387 0.9328170498060387 -0.2657224491436063;-0.665399233074407 -0.0387349595359669 -0.7454820343467293;-0.7056911002780957 0.3582624101142977 0.6112676308192553;0.00021307803922525757
-1.000000000000032 8.764382280225698e-16 -4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;0.2434007633765387 0.9328170498060387 -0.2657224491436063;-0.665399233074407 -0.0387349595359669 -0.7454820343467293;-0.7056911002780957 0.3582624101142977 0.6112676308192553;0.00019021492243084684
