Punkt_Fl_Norm1;Punkt_Fl_Norm2;Frame_Xvek;Frame_Yvek;Frame_Zvek;hit_fraction
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;-1
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;-1
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;-1
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;-1
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;-1
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.005144991209650542
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.000272050679239208
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.0004401872456748712
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.0009098210196204081
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;-1
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.000603082148445203
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.0004401872456711198
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.000603082148445203
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.000603082148445203
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.00043639647893784785
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.0006030821484452029
1.000000000000032 -8.764382506215699e-16 4.371144943743674e-08;-7.885984946901015e-16 4.329869796038109e-15 1.000000000000113;-8.269460797427576e-16 -1.0 8.659560373093959e-17;0.7071067966408785 -6.45971530722447e-16 -0.7071067657322162;0.7071067657322162 -5.235068279244691e-16 0.7071067966408785;0.0004363964789378528
